,ENS_W
2023-10-16 00:00:00,0.38752009350510475
2023-10-16 01:00:00,2.023619510075929
2023-10-16 02:00:00,3.2099884882737104
2023-10-16 03:00:00,5.460879138367739
2023-10-16 04:00:00,6.891104541675229
2023-10-16 05:00:00,6.560208123319307
2023-10-16 06:00:00,6.782447562367937
2023-10-16 07:00:00,6.438752333096227
2023-10-16 08:00:00,5.597282102081513
2023-10-16 09:00:00,5.2553619225468005
2023-10-16 10:00:00,5.179049062593293
2023-10-16 11:00:00,6.009547547260881
2023-10-16 12:00:00,7.225875542344824
2023-10-16 13:00:00,7.596868638104041
2023-10-16 14:00:00,9.588395372305222
2023-10-16 15:00:00,12.802684454071112
2023-10-16 16:00:00,15.756433029157055
2023-10-16 17:00:00,17.2045684284193
2023-10-16 18:00:00,18.46629926187923
2023-10-16 19:00:00,15.436327728269
2023-10-16 20:00:00,12.208477336131724
2023-10-16 21:00:00,11.998517869927687
2023-10-16 22:00:00,11.354054763421399
2023-10-16 23:00:00,3.643225160124632
2023-10-17 00:00:00,4.954292644154882
2023-10-17 00:00:00,4.979012596798433
2023-10-17 00:00:00,5.120083865168985
2023-10-17 00:00:00,5.1448038178125355
2023-10-17 00:00:00,4.923471220857767
2023-10-17 00:00:00,4.948191173501318
2023-10-17 00:00:00,5.0892624418718695
2023-10-17 00:00:00,5.11398239451542
2023-10-17 00:00:00,4.986484906332168
2023-10-17 00:00:00,5.011204858975719
2023-10-17 00:00:00,5.152276127346271
2023-10-17 00:00:00,5.176996079989822
2023-10-17 00:00:00,4.955663483035053
2023-10-17 00:00:00,4.980383435678604
2023-10-17 00:00:00,5.121454704049156
2023-10-17 00:00:00,5.146174656692707
2023-10-17 00:00:00,5.102874367163645
2023-10-17 00:00:00,5.127594319807196
2023-10-17 00:00:00,5.268665588177747
2023-10-17 00:00:00,5.293385540821298
2023-10-17 00:00:00,5.072052943866529
2023-10-17 00:00:00,5.09677289651008
2023-10-17 00:00:00,5.237844164880633
2023-10-17 00:00:00,5.2625641175241835
2023-10-17 00:00:00,5.1350666293409315
2023-10-17 00:00:00,5.159786581984482
2023-10-17 00:00:00,5.300857850355034
2023-10-17 00:00:00,5.325577802998585
2023-10-17 00:00:00,5.104245206043816
2023-10-17 00:00:00,5.128965158687367
2023-10-17 00:00:00,5.270036427057919
2023-10-17 00:00:00,5.29475637970147
2023-10-17 01:00:00,7.115482576942545
2023-10-17 02:00:00,9.316090117148663
2023-10-17 03:00:00,9.13005944669075
2023-10-17 04:00:00,9.431398834970466
2023-10-17 05:00:00,9.695638672968162
2023-10-17 06:00:00,8.95700063984094
2023-10-17 07:00:00,7.536923016579759
2023-10-17 08:00:00,7.462536673407885
2023-10-17 09:00:00,7.922850166185257
2023-10-17 10:00:00,8.195877558513583
2023-10-17 11:00:00,8.573229859665421
2023-10-17 12:00:00,10.080801586874045
2023-10-17 13:00:00,11.315695239435565
2023-10-17 14:00:00,12.697031211101324
2023-10-17 15:00:00,14.866524499117544
2023-10-17 16:00:00,15.170445325027744
2023-10-17 17:00:00,15.831096010777179
2023-10-17 18:00:00,16.447354708014007
2023-10-17 19:00:00,15.481111276788535
2023-10-17 20:00:00,12.72731624553815
2023-10-17 21:00:00,12.691601927659159
2023-10-17 22:00:00,10.407386077862803
2023-10-17 23:00:00,3.4299412983387767
2023-10-17 23:00:00,3.4810503760257445
2023-10-18 00:00:00,2.898287998765738
2023-10-18 00:00:00,3.136405387529542
2023-10-18 01:00:00,4.849839290053
2023-10-18 01:00:00,5.100489172962267
2023-10-18 02:00:00,8.179772480619981
2023-10-18 02:00:00,8.475069373922462
2023-10-18 03:00:00,9.696407502317872
2023-10-18 03:00:00,9.782176759125887
2023-10-18 04:00:00,9.818744909724135
2023-10-18 04:00:00,9.699098754679165
2023-10-18 05:00:00,10.564353222123858
2023-10-18 05:00:00,10.390660686076576
2023-10-18 06:00:00,9.593799447345345
2023-10-18 07:00:00,9.171374748615584
2023-10-18 08:00:00,9.645699492917657
2023-10-18 09:00:00,11.001789124715211
2023-10-18 10:00:00,11.179161666599969
2023-10-18 11:00:00,11.668711796893323
2023-10-18 12:00:00,10.413741006158086
